$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    67.600,   28.320,            0.000,
    67.700,   28.320,            0.000,
    67.800,   28.320,            0.000,
    67.900,   28.320,            0.000,
    68.000,   28.320,            0.000,
    68.100,   28.320,            0.000,
    68.200,   28.320,            0.000,
    68.300,   28.320,            0.000,
    68.400,   28.320,            0.000,
    68.500,   28.320,            0.000,
    68.600,   28.320,            0.000,
    68.700,   28.320,            0.000,
    68.800,   28.320,            0.000,
    68.900,   28.320,            0.000,
    69.000,   28.320,            0.000,
    69.100,   28.320,            0.000,
    69.200,   28.320,            0.000,
    69.300,   28.320,            0.000,
    69.400,   28.320,            0.000,
    69.500,   28.320,            0.000,
    69.600,   28.320,            0.000,
    69.700,   28.320,            0.000,
    69.800,   28.320,            0.000,
    69.900,   28.320,            0.000,
    70.000,   28.320,            0.000,
    70.100,   28.320,            0.000,
    70.200,   28.320,            0.000,
    70.300,   28.320,            0.000,
    70.400,   28.320,            0.000,
    70.500,   28.320,            0.000,
    70.600,   28.320,            0.000,
    70.700,   28.320,            0.000,
    70.800,   28.320,            0.000,
    70.900,   28.320,            0.000,
    71.000,   28.320,            0.000,
    71.100,   28.320,            0.000,
    71.200,   28.320,            0.000,
    71.300,   28.320,            0.000,
    71.400,   28.320,            0.000,
    71.500,   28.320,            0.000,
    71.600,   28.320,            0.000,
    71.700,   28.320,            0.000,
    71.800,   28.320,            0.000,
    71.900,   28.320,            0.000,
    72.000,   28.320,            0.000,
    72.100,   28.320,            0.000,
    72.200,   28.320,            0.000,
    72.300,   28.320,            0.000,
    72.400,   28.320,            0.000,
    72.500,   28.320,            0.000,
    72.600,   28.320,            0.000,
    72.700,   28.320,            0.000,
    72.800,   28.320,            0.000,
    72.900,   28.320,            0.000,
    73.000,   28.320,            0.000,
    73.100,   28.320,            0.000,
    73.200,   28.320,            0.000,
    73.300,   28.320,            0.000,
    73.400,   28.320,            0.000,
    73.500,   28.320,            0.000,
    73.600,   28.320,            0.000,
    73.700,   28.320,            0.000,
    73.800,   28.320,            0.000,
    73.900,   28.320,            0.000,
    74.000,   28.320,            0.000,
    74.100,   28.320,            0.000,
    74.200,   28.320,            0.000,
    74.300,   28.320,            0.000,
    74.400,   28.320,            0.000,
    74.500,   28.320,            0.000,
    74.600,   28.320,            0.000,
    74.700,   28.320,            0.000,
    74.800,   28.320,            0.000,
    74.900,   28.320,            0.000,
    75.000,   28.320,            0.000,
    75.100,   42.480,            0.000,
    75.200,   42.480,            0.000,
    75.300,   42.480,            0.000,
    75.400,   42.480,            0.000,
    75.500,   42.480,            0.000,
    75.600,   42.480,            0.000,
    75.700,   42.480,            0.000,
    75.800,   42.480,            0.000,
    75.900,   42.480,            0.000,
    76.000,   42.480,            0.000,
    76.100,   42.480,            0.000,
    76.200,   42.480,            0.000,
    76.300,   42.480,            0.000,
    76.400,   42.480,            0.000,
    76.500,   42.480,            0.000,
    76.600,   42.480,            0.000,
    76.700,   42.480,            0.000,
    76.800,   42.480,            0.000,
    76.900,   42.480,            0.000,
    77.000,   42.480,            0.000,
    77.100,   42.480,            0.000,
    77.200,   42.480,            0.000,
    77.300,   42.480,            0.000,
    77.400,   42.480,            0.000,
    77.500,   42.480,            0.000,
    77.600,   42.480,            0.000,
    77.700,   42.480,            0.000,
    77.800,   42.480,            0.000,
    77.900,   42.480,            0.000,
    78.000,   42.480,            0.000,
    78.100,   42.480,            0.000,
    78.200,   42.480,            0.000,
    78.300,   42.480,            0.000,
    78.400,   42.480,            0.000,
    78.500,   42.480,            0.000,
    78.600,   42.480,            0.000,
    78.700,   42.480,            0.000,
    78.800,   42.480,            0.000,
    78.900,   42.480,            0.000,
    79.000,   42.480,            0.000,
    79.100,   42.480,            0.000,
    79.200,   42.480,            0.000,
    79.300,   42.480,            0.000,
    79.400,   42.480,            0.000,
    79.500,   42.480,            0.000,
    79.600,   42.480,            0.000,
    79.700,   42.480,            0.000,
    79.800,   42.480,            0.000,
    79.900,   42.480,            0.000,
    80.000,   42.480,            0.000,
    80.100,   42.480,            0.000,
    80.200,   42.480,            0.000,
    80.300,   42.480,            0.000,
    80.400,   42.480,            0.000,
    80.500,   42.480,            0.000,
    80.600,   42.480,            0.000,
    80.700,   42.480,            0.000,
    80.800,   42.480,            0.000,
    80.900,   42.480,            0.000,
    81.000,   42.480,            0.000,
    81.100,   42.480,            0.000,
    81.200,   42.480,            0.000,
    81.300,   42.480,            0.000,
    81.400,   42.480,            0.000,
    81.500,   42.480,            0.000,
    81.600,   42.480,            0.000,
    81.700,   42.480,            0.000,
    81.800,   42.480,            0.000,
    81.900,   42.480,            0.000,
    82.000,   42.480,            0.000,
    82.100,   42.480,            0.000,
    82.200,   42.480,            0.000,
    82.300,   42.480,            0.000,
    82.400,   42.480,            0.000,
    82.500,   42.480,            0.000,
    82.600,   42.480,            0.000,
    82.700,   42.480,            0.000,
    82.800,   42.480,            0.000,
    82.900,   42.480,            0.000,
    83.000,   42.480,            0.000,
    83.100,   42.480,            0.000,
    83.200,   42.480,            0.000,
    83.300,   42.480,            0.000,
    83.400,   42.480,            0.000,
    83.500,   42.480,            0.000,
    83.600,   42.480,            0.000,
    83.700,   42.480,            0.000,
    83.800,   42.480,            0.000,
    83.900,   42.480,            0.000,
    84.000,   42.480,            0.000,
    84.100,   42.480,            0.000,
    84.200,   42.480,            0.000,
    84.300,   42.480,            0.000,
    84.400,   42.480,            0.000,
    84.500,   42.480,            0.000,
    84.600,   42.480,            0.000,
    84.700,   42.480,            0.000,
    84.800,   42.480,            0.000,
    84.900,   42.480,            0.000,
    85.000,   42.480,            0.000,
    85.100,   42.480,            0.000,
    85.200,   42.480,            0.000,
    85.300,   42.480,            0.000,
    85.400,   42.480,            0.000,
    85.500,   42.480,            0.000,
