$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    32.200,   23.3169,   21.3390,    2.3261,    1.7533,
    32.300,   23.3282,   21.3547,    2.2831,    1.7413,
    32.400,   23.3393,   21.3793,    2.2454,    1.7309,
    32.500,   23.3518,   21.3979,    2.2078,    1.7200,
    32.600,   23.3742,   21.3568,    2.1408,    1.6998,
    32.700,   23.3972,   21.3007,    2.0684,    1.6782,
    32.800,   23.4322,   21.1663,    1.9606,    1.6459,
    32.900,   23.4938,   20.8598,    1.7737,    1.5903,
    33.000,   23.5734,   20.4410,    1.5398,    1.5209,
    33.100,   23.6070,   20.3450,    1.4637,    1.4986,
    33.200,   23.6409,   20.2538,    1.3943,    1.4775,
    33.300,   23.6760,   20.1577,    1.3273,    1.4559,
    33.400,   23.7096,   20.0768,    1.2690,    1.4363,
    33.500,   23.7326,   20.0685,    1.2346,    1.4257,
    33.600,   23.7493,   20.0902,    1.2065,    1.4163,
    33.700,   23.7577,   20.1501,    1.1872,    1.4101,
    33.800,   23.7725,   20.1702,    1.1581,    1.3986,
    33.900,   23.7818,   20.2235,    1.1394,    1.3918,
    34.000,   23.7852,   20.3116,    1.1323,    1.3893,
    34.100,   23.7831,   20.4260,    1.1327,    1.3903,
    34.200,   23.7790,   20.5491,    1.1346,    1.3922,
    34.300,   23.7722,   20.6877,    1.1412,    1.3962,
    34.400,   23.7661,   20.8290,    1.1485,    1.4006,
    34.500,   23.7530,   21.0225,    1.1727,    1.4133,
    34.600,   23.7391,   21.2086,    1.1947,    1.4235,
    34.700,   23.7262,   21.3844,    1.2133,    1.4317,
    34.800,   23.7228,   21.4994,    1.2128,    1.4309,
    34.900,   23.7217,   21.6059,    1.2093,    1.4296,
    35.000,   23.7209,   21.7161,    1.2067,    1.4292,
    35.100,   23.7235,   21.8048,    1.1975,    1.4258,
    35.200,   23.7292,   21.8758,    1.1830,    1.4200,
    35.300,   23.7362,   21.9401,    1.1668,    1.4135,
    35.400,   23.7404,   22.0231,    1.1564,    1.4098,
    35.500,   23.7404,   22.1332,    1.1541,    1.4097,
    35.600,   23.7321,   22.2957,    1.1682,    1.4175,
    35.700,   23.7254,   22.4416,    1.1771,    1.4224,
    35.800,   23.7292,   22.5142,    1.1631,    1.4159,
    35.900,   23.7308,   22.6057,    1.1547,    1.4128,
    36.000,   23.7318,   22.7041,    1.1478,    1.4109,
    36.100,   23.7336,   22.7995,    1.1397,    1.4086,
    36.200,   23.7388,   22.8745,    1.1243,    1.4031,
    36.300,   23.7452,   22.9419,    1.1067,    1.3964,
    36.400,   23.7521,   23.0064,    1.0885,    1.3893,
    36.500,   23.7598,   23.0663,    1.0691,    1.3816,
    36.600,   23.7636,   23.1513,    1.0576,    1.3780,
    36.700,   23.7707,   23.2103,    1.0388,    1.3701,
    36.800,   23.7813,   23.2403,    1.0116,    1.3571,
    36.900,   23.7928,   23.2647,    0.9824,    1.3431,
    37.000,   23.8044,   23.2937,    0.9540,    1.3300,
    37.100,   23.8162,   23.3244,    0.9264,    1.3172,
    37.200,   23.8294,   23.3480,    0.8972,    1.3034,
    37.300,   23.8430,   23.3699,    0.8686,    1.2896,
    37.400,   23.8987,   23.1361,    0.7560,    1.2352,
    37.500,   23.9077,   23.1887,    0.7401,    1.2265,
    37.600,   23.9102,   23.2818,    0.7371,    1.2244,
    37.700,   23.9149,   23.3590,    0.7310,    1.2194,
    37.800,   23.9200,   23.4300,    0.7249,    1.2137,
    37.900,   23.9249,   23.4999,    0.7184,    1.2081,
    38.000,   23.9284,   23.5757,    0.7135,    1.2040,
    38.100,   23.9268,   23.6721,    0.7143,    1.2037,
    38.200,   23.9277,   23.7527,    0.7096,    1.2009,
    38.300,   23.9287,   23.8327,    0.7052,    1.1984,
    38.400,   23.9274,   23.9259,    0.7046,    1.1981,
    38.500,   23.9258,   24.0225,    0.7034,    1.1978,
    38.600,   23.9243,   24.1155,    0.7002,    1.1965,
    38.700,   23.9223,   24.2142,    0.6994,    1.1966,
    38.800,   23.9223,   24.3039,    0.6979,    1.1953,
    38.900,   23.9222,   24.4026,    0.6991,    1.1960,
    39.000,   23.9220,   24.4987,    0.7000,    1.1965,
    39.100,   23.9212,   24.5910,    0.7004,    1.1967,
    39.200,   23.9212,   24.6765,    0.6996,    1.1964,
    39.300,   23.9209,   24.7642,    0.6998,    1.1968,
    39.400,   23.9209,   24.8477,    0.7000,    1.1971,
    39.500,   23.9213,   24.9301,    0.7010,    1.1978,
    39.600,   23.9226,   25.0192,    0.7050,    1.2001,
    39.700,   23.9234,   25.0858,    0.7046,    1.1988,
    39.800,   23.9238,   25.1497,    0.7010,    1.1958,
    39.900,   23.9243,   25.2318,    0.6983,    1.1941,
    40.000,   23.9248,   25.3196,    0.6958,    1.1930,
    40.100,   23.9256,   25.4026,    0.6912,    1.1910,
    40.200,   23.9253,   25.4869,    0.6862,    1.1890,
    40.300,   23.9214,   25.6008,    0.6878,    1.1917,
    40.400,   23.9224,   25.6892,    0.6845,    1.1910,
    40.500,   23.9244,   25.7832,    0.6832,    1.1913,
    40.600,   23.9274,   25.9006,    0.6872,    1.1951,
    40.700,   23.9299,   25.9692,    0.6816,    1.1919,
    40.800,   23.9347,   25.9671,    0.6622,    1.1787,
    40.900,   23.9416,   25.9989,    0.6497,    1.1705,
    41.000,   23.9455,   26.0661,    0.6436,    1.1671,
    41.100,   23.9517,   26.1171,    0.6352,    1.1619,
    41.200,   23.9599,   26.1522,    0.6252,    1.1553,
    41.300,   23.9677,   26.1917,    0.6164,    1.1495,
    41.400,   23.9750,   26.2409,    0.6089,    1.1448,
    41.500,   23.9810,   26.3098,    0.6044,    1.1423,
    41.600,   23.9859,   26.3857,    0.6003,    1.1402,
    41.700,   24.0026,   26.3578,    0.5792,    1.1245,
    41.800,   24.0070,   26.4348,    0.5760,    1.1226,
    41.900,   24.0110,   26.5136,    0.5730,    1.1209,
    42.000,   24.0160,   26.5852,    0.5686,    1.1182,
    42.100,   24.0218,   26.6508,    0.5633,    1.1149,
    42.200,   24.0282,   26.7125,    0.5575,    1.1112,
    42.300,   24.0360,   26.7611,    0.5502,    1.1062,
    42.400,   24.0457,   26.7951,    0.5417,    1.1001,
    42.500,   24.0562,   26.8278,    0.5336,    1.0943,
    42.600,   24.0655,   26.8684,    0.5269,    1.0894,
    42.700,   24.0774,   26.8920,    0.5170,    1.0817,
    42.800,   24.0929,   26.8922,    0.5042,    1.0718,
    42.900,   24.1028,   26.9322,    0.4976,    1.0667,
    43.000,   24.1127,   26.9718,    0.4917,    1.0622,
    43.100,   24.1245,   27.0029,    0.4850,    1.0568,
    43.200,   24.1379,   27.0291,    0.4781,    1.0512,
    43.300,   24.1514,   27.0564,    0.4716,    1.0457,
    43.400,   24.1653,   27.0775,    0.4645,    1.0395,
    43.500,   24.1782,   27.1030,    0.4579,    1.0335,
    43.600,   24.1874,   27.1513,    0.4535,    1.0295,
    43.700,   24.1949,   27.2232,    0.4512,    1.0282,
    43.800,   24.2139,   27.2292,    0.4421,    1.0200,
    43.900,   24.2238,   27.2819,    0.4379,    1.0166,
    44.000,   24.2324,   27.3428,    0.4342,    1.0138,
    44.100,   24.2434,   27.3940,    0.4292,    1.0100,
    44.200,   24.2567,   27.4362,    0.4233,    1.0054,
    44.300,   24.2693,   27.4810,    0.4179,    1.0015,
    44.400,   24.2820,   27.5247,    0.4128,    0.9978,
    44.500,   24.2931,   27.5731,    0.4084,    0.9943,
    44.600,   24.3081,   27.6039,    0.4029,    0.9893,
    44.700,   24.3475,   27.5361,    0.3879,    0.9764,
    44.800,   24.3541,   27.6045,    0.3871,    0.9759,
    44.900,   24.3596,   27.6776,    0.3877,    0.9760,
    45.000,   24.3649,   27.7514,    0.3878,    0.9756,
    45.100,   24.3705,   27.8229,    0.3873,    0.9747,
    45.200,   24.3757,   27.8942,    0.3866,    0.9737,
    45.300,   24.3808,   27.9639,    0.3859,    0.9726,
    45.400,   24.3864,   28.0293,    0.3851,    0.9714,
    45.500,   24.3918,   28.0974,    0.3842,    0.9702,
    45.600,   24.4025,   28.1434,    0.3816,    0.9676,
    45.700,   24.3896,   28.3418,    0.3899,    0.9782,
    45.800,   24.3928,   28.4406,    0.3924,    0.9798,
    45.900,   24.3970,   28.5347,    0.3952,    0.9813,
    46.000,   24.3839,   28.7332,    0.4052,    0.9928,
