JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
     2.000,    10.000,   441.374,     6.626,     0.002,    36.741,     0.000,     0.498,    53.974,   825.110,     1.000,     6.626,  -118.003,     0.000,   262.968,   337.595,    30.229,    13.147,    23.017,     0.998,     0.020,     2.456,     2.477,     2.477, 0.000E+00, 0.000E+00,
     2.100,    10.000,   441.383,     6.618,     0.006,    69.620,     0.000,     0.498,    53.983,   825.110,     1.000,     6.618,  -121.472,     0.000,   261.326,   337.554,    31.544,    13.699,    23.019,     1.098,     0.027,     2.452,     2.479,     2.479, 0.000E+00, 0.000E+00,
     2.200,    10.000,   441.378,     6.609,     0.004,    70.659,     0.000,     0.498,    53.978,   825.110,     1.000,     6.609,  -117.237,     0.000,   260.834,   337.513,    28.675,    11.883,    23.022,     1.197,     0.033,     2.448,     2.481,     2.481, 0.000E+00, 0.000E+00,
     2.300,    10.000,   441.375,     6.601,     0.006,    70.738,     0.000,     0.498,    53.975,   825.110,     1.000,     6.601,  -104.410,     0.000,   262.140,   337.472,    24.629,     4.449,    23.027,     1.296,     0.039,     2.443,     2.482,     2.482, 0.000E+00, 0.000E+00,
     2.400,    10.000,   441.375,     6.594,     0.012,    71.140,    47.758,     0.498,    53.975,   825.110,     1.000,     6.594,   -30.964,    45.055,   273.025,   337.439,    18.431,    -6.826,    23.032,     1.395,     0.045,     2.439,     2.483,     2.483, 0.000E+00, 0.000E+00,
     2.500,    10.000,   441.378,     6.619,     0.010,    71.418,   144.423,     0.495,    53.978,   825.110,     1.000,     6.594,   114.777,   136.249,   290.896,   337.558,    -6.389,   -18.803,    23.034,     1.491,     0.050,     2.404,     2.453,     2.453, 0.000E+00, 0.000E+00,
     2.600,    10.000,   441.384,     6.683,     0.004,    71.963,   213.000,     0.492,    53.984,   825.110,     1.000,     6.597,   158.413,   200.943,   275.444,   337.866,     1.262,   -21.155,    23.035,     1.586,     0.057,     2.367,     2.424,     2.424, 0.000E+00, 0.000E+00,
     2.700,    10.000,   441.396,     6.713,    -0.001,    72.307,    45.674,     0.490,    53.996,   825.110,     1.000,     6.596,   -27.304,    43.089,   262.963,   338.014,     6.967,   -11.626,    23.036,     1.681,     0.062,     2.336,     2.398,     2.398, 0.000E+00, 0.000E+00,
     2.800,    10.000,   441.411,     6.644,     0.008,    72.773,     0.000,     0.490,    54.011,   825.110,     1.000,     6.582,  -115.668,     0.000,   243.263,   337.682,    14.918,     6.331,    23.037,     1.781,     0.062,     2.339,     2.401,     2.401, 0.000E+00, 0.000E+00,
     2.900,    10.000,   441.430,     6.597,     0.016,    73.245,     0.000,     0.491,    54.030,   825.110,     1.000,     6.569,  -116.835,     0.000,   242.556,   337.453,    15.466,     6.472,    23.036,     1.882,     0.060,     2.349,     2.409,     2.409, 0.000E+00, 0.000E+00,
     3.000,    10.000,   441.451,     6.565,     0.020,    73.203,     0.000,     0.491,    54.051,   825.110,     1.000,     6.555,  -115.933,     0.000,   244.897,   337.300,    15.367,     8.162,    23.041,     1.982,     0.059,     2.354,     2.414,     2.414, 0.000E+00, 0.000E+00,
     3.100,    10.000,   441.465,     6.542,     0.023,    83.083,     0.000,     0.494,    54.065,   825.110,     1.000,     6.542,  -121.638,     0.000,   243.127,   337.188,    17.897,     9.680,    23.065,     2.079,     0.073,     2.366,     2.439,     2.439, 0.000E+00, 0.000E+00,
     3.200,    10.000,   441.476,     6.528,     0.024,    79.686,     0.000,     0.506,    54.076,   825.110,     1.000,     6.528,  -124.100,     0.000,   242.078,   337.121,    18.365,    10.693,    23.121,     2.173,     0.159,     2.400,     2.558,     2.558, 0.000E+00, 0.000E+00,
     3.300,    10.000,   441.488,     6.514,     0.022,    79.330,     0.000,     0.509,    54.088,   825.110,     1.000,     6.514,  -130.893,     0.000,   239.798,   337.052,    19.737,    13.902,    23.132,     2.269,     0.192,     2.396,     2.588,     2.588, 0.000E+00, 0.000E+00,
     3.400,    10.000,   441.499,     6.499,     0.012,    79.473,    51.223,     0.513,    54.099,   825.110,     1.000,     6.499,   -71.917,    48.323,   246.154,   336.981,    18.993,    10.420,    23.143,     2.364,     0.237,     2.393,     2.630,     2.630, 0.000E+00, 0.000E+00,
     3.500,    10.000,   441.509,     6.535,     0.013,    79.365,   363.381,     0.510,    54.109,   825.110,     1.000,     6.495,   251.256,   342.812,   249.960,   337.155,     7.475,    -3.114,    23.143,     2.456,     0.234,     2.361,     2.595,     2.595, 0.000E+00, 0.000E+00,
     3.600,    10.000,   441.519,     6.618,     0.005,    79.608,   265.989,     0.505,    54.119,   825.110,     1.000,     6.497,   167.134,   250.933,   254.580,   337.554,     7.866,    -7.042,    23.143,     2.547,     0.229,     2.325,     2.554,     2.554, 0.000E+00, 0.000E+00,
     3.700,    10.000,   441.528,     6.623,     0.002,    79.476,    41.439,     0.502,    54.128,   825.110,     1.000,     6.489,   -60.643,    39.093,   247.286,   337.580,     9.563,    -0.120,    23.143,     2.639,     0.223,     2.295,     2.518,     2.518, 0.000E+00, 0.000E+00,
     3.800,    10.000,   441.536,     6.549,     0.012,    79.373,     0.000,     0.502,    54.136,   825.110,     1.000,     6.472,  -121.038,     0.000,   241.782,   337.223,    16.547,     9.051,    23.144,     2.739,     0.222,     2.296,     2.518,     2.518, 0.000E+00, 0.000E+00,
     3.900,    10.000,   441.543,     6.499,     0.016,    79.176,     0.000,     0.503,    54.143,   825.110,     1.000,     6.456,  -123.339,     0.000,   240.936,   336.978,    17.144,    10.153,    23.144,     2.841,     0.223,     2.305,     2.529,     2.529, 0.000E+00, 0.000E+00,
     4.000,    10.000,   441.548,     6.472,     0.017,    79.003,     0.000,     0.505,    54.148,   825.110,     1.000,     6.440,  -124.654,     0.000,   240.856,   336.848,    17.716,    10.946,    23.148,     2.942,     0.232,     2.322,     2.555,     2.555, 0.000E+00, 0.000E+00,
