$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    12.400,   22.4862,    8.7005,   14.3556,    3.3828,
    12.500,   22.4622,    8.7465,   14.2915,    3.3854,
    12.600,   22.4319,    8.7794,   14.4065,    3.4068,
    12.705,   22.4010,    8.8059,   14.5824,    3.4341,
    12.803,   22.3710,    8.8235,   14.8475,    3.4702,
    12.900,   22.3463,    8.8447,   14.9754,    3.4923,
    13.000,   22.3277,    8.8783,   14.9549,    3.5003,
    13.100,   22.3149,    8.9296,   14.8826,    3.5005,
    13.205,   22.3036,    8.9836,   14.8034,    3.4999,
    13.303,   22.2952,    9.0440,   14.6937,    3.4951,
    13.400,   22.2913,    9.1154,   14.5333,    3.4842,
    13.500,   22.2929,    9.2072,   14.2923,    3.4640,
    13.600,   22.2866,    9.2788,   14.2127,    3.4611,
    13.701,   22.2795,    9.3478,   14.1432,    3.4592,
    13.803,   22.2698,    9.4098,   14.0797,    3.4581,
    13.900,   22.2632,    9.4800,   13.9548,    3.4500,
    14.000,   22.2541,    9.5414,   13.9102,    3.4502,
    14.100,   22.2459,    9.6076,   13.8582,    3.4500,
    14.201,   22.2369,    9.6671,   13.8388,    3.4530,
    14.304,   22.2312,    9.7400,   13.7675,    3.4501,
    14.400,   22.2271,    9.8135,   13.6892,    3.4459,
    14.500,   22.2260,    9.8933,   13.5690,    3.4367,
    14.600,   22.2249,    9.9798,   13.4503,    3.4278,
    14.702,   22.2239,   10.0618,   13.3315,    3.4186,
    14.801,   22.2242,   10.1509,   13.1491,    3.4029,
    14.900,   22.2212,   10.2283,   13.0570,    3.3962,
    15.000,   22.2177,   10.3039,   12.9761,    3.3904,
    15.100,   22.2158,   10.3879,   12.8703,    3.3814,
    15.201,   22.2167,   10.4754,   12.7281,    3.3681,
    15.303,   22.2202,   10.5682,   12.5438,    3.3498,
    15.400,   22.2238,   10.6522,   12.3722,    3.3323,
    15.500,   22.2264,   10.7367,   12.2302,    3.3175,
    15.600,   22.2321,   10.8327,   12.0126,    3.2954,
    15.701,   22.2351,   10.9226,   11.8531,    3.2796,
    15.807,   22.2362,   11.0097,   11.7362,    3.2683,
    15.900,   22.2351,   11.0856,   11.6764,    3.2626,
    16.000,   22.2221,   11.1348,   11.9267,    3.2880,
    16.100,   22.1905,   11.1435,   12.6252,    3.3608,
    16.202,   22.1902,   11.2220,   12.5408,    3.3542,
    16.304,   22.1949,   11.3067,   12.3562,    3.3364,
    16.400,   22.1999,   11.3872,   12.1822,    3.3190,
    16.500,   22.2043,   11.4712,   12.0248,    3.3038,
    16.600,   22.2073,   11.5594,   11.8999,    3.2923,
    16.701,   22.2103,   11.6459,   11.7809,    3.2810,
    16.803,   22.2135,   11.7340,   11.6587,    3.2690,
    16.900,   22.2166,   11.8173,   11.5431,    3.2577,
    17.000,   22.2196,   11.9046,   11.4270,    3.2458,
    17.100,   22.2211,   11.9878,   11.3121,    3.2338,
    17.201,   22.2218,   12.0697,   11.2014,    3.2223,
