$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    37.500,   23.6553,   24.6089,    1.2627,    1.4462,
    37.600,   23.6561,   24.7088,    1.2586,    1.4457,
    37.703,   23.6577,   24.8049,    1.2531,    1.4444,
    37.801,   23.6684,   24.8399,    1.2260,    1.4338,
    37.900,   23.6743,   24.9076,    1.2113,    1.4282,
    38.000,   23.6800,   24.9792,    1.1971,    1.4230,
    38.100,   23.6825,   25.0574,    1.1888,    1.4201,
    38.203,   23.6866,   25.1330,    1.1758,    1.4155,
    38.302,   23.6900,   25.2043,    1.1655,    1.4120,
    38.400,   23.6941,   25.2802,    1.1531,    1.4079,
    38.500,   23.6875,   25.4215,    1.1633,    1.4138,
    38.600,   23.6935,   25.4782,    1.1437,    1.4068,
    38.704,   23.7004,   25.5305,    1.1227,    1.3992,
    38.802,   23.7038,   25.6077,    1.1111,    1.3954,
    38.900,   23.7112,   25.6599,    1.0922,    1.3885,
    39.000,   23.7122,   25.7527,    1.0861,    1.3877,
    39.100,   23.7124,   25.8488,    1.0813,    1.3876,
    39.207,   23.7147,   25.9379,    1.0731,    1.3860,
    39.302,   23.7195,   26.0098,    1.0615,    1.3827,
    39.400,   23.7263,   26.0639,    1.0471,    1.3777,
    39.500,   23.7324,   26.1301,    1.0358,    1.3744,
    39.600,   23.7349,   26.2223,    1.0349,    1.3762,
    39.701,   23.7530,   26.2128,    1.0076,    1.3636,
    39.802,   23.7573,   26.2802,    0.9995,    1.3607,
    39.900,   23.7610,   26.3531,    0.9907,    1.3581,
    40.000,   23.7667,   26.4213,    0.9779,    1.3540,
    40.100,   23.7751,   26.4736,    0.9596,    1.3472,
    40.205,   23.7858,   26.5026,    0.9353,    1.3371,
    40.302,   23.7927,   26.5563,    0.9171,    1.3303,
    40.400,   23.7947,   26.6350,    0.9067,    1.3277,
    40.500,   23.7966,   26.7206,    0.8971,    1.3255,
    40.600,   23.7965,   26.8347,    0.8954,    1.3278,
    40.702,   23.7938,   26.9468,    0.8951,    1.3299,
    40.802,   23.7953,   27.0069,    0.8835,    1.3241,
    40.900,   23.7968,   27.0809,    0.8756,    1.3212,
    41.000,   23.7995,   27.1595,    0.8667,    1.3182,
    41.100,   23.8044,   27.2170,    0.8553,    1.3133,
    41.207,   23.8160,   27.2238,    0.8329,    1.3013,
    41.301,   23.8262,   27.2278,    0.8123,    1.2900,
    41.400,   23.8319,   27.2819,    0.7988,    1.2838,
    41.500,   23.8318,   27.3865,    0.7957,    1.2843,
    41.600,   23.8286,   27.5108,    0.7975,    1.2877,
    41.708,   23.8205,   27.6664,    0.8041,    1.2939,
    41.802,   23.8260,   27.7200,    0.7944,    1.2886,
    41.900,   23.8373,   27.7430,    0.7775,    1.2780,
    42.000,   23.8479,   27.7700,    0.7609,    1.2681,
    42.100,   23.8608,   27.7773,    0.7411,    1.2560,
    42.206,   23.8755,   27.7711,    0.7190,    1.2423,
    42.300,   23.8942,   27.7300,    0.6918,    1.2250,
    42.400,   23.9192,   27.6458,    0.6588,    1.2025,
    42.500,   23.9335,   27.6453,    0.6403,    1.1907,
    42.600,   23.9376,   27.7159,    0.6340,    1.1882,
    42.702,   23.9260,   27.9142,    0.6457,    1.1997,
    42.800,   23.9325,   27.9680,    0.6382,    1.1949,
    42.900,   23.9592,   27.8716,    0.6095,    1.1726,
    43.000,   23.9939,   27.7180,    0.5739,    1.1442,
    43.100,   24.0273,   27.5741,    0.5412,    1.1176,
    43.208,   24.0527,   27.5043,    0.5183,    1.0990,
    43.302,   24.0714,   27.4742,    0.5025,    1.0861,
    43.400,   24.0897,   27.4612,    0.4883,    1.0744,
    43.500,   24.1047,   27.4721,    0.4783,    1.0659,
    43.600,   24.1151,   27.5117,    0.4725,    1.0611,
    43.703,   24.1174,   27.6047,    0.4729,    1.0618,
    43.801,   24.1612,   27.4747,    0.4474,    1.0388,
    43.900,   24.1638,   27.5634,    0.4474,    1.0397,
    44.000,   24.1850,   27.5629,    0.4366,    1.0306,
    44.100,   24.1998,   27.5878,    0.4296,    1.0249,
    44.208,   24.2045,   27.6735,    0.4279,    1.0245,
    44.302,   24.2197,   27.6990,    0.4211,    1.0190,
    44.400,   24.2353,   27.7324,    0.4142,    1.0134,
    44.500,   24.2477,   27.7727,    0.4084,    1.0087,
    44.600,   24.2450,   27.8809,    0.4094,    1.0101,
    44.703,   24.3200,   27.6905,    0.3853,    0.9866,
    44.801,   24.3411,   27.6747,    0.3739,    0.9770,
    44.900,   24.3472,   27.7501,    0.3728,    0.9767,
    45.000,   24.3527,   27.8203,    0.3714,    0.9759,
    45.100,   24.3555,   27.9143,    0.3714,    0.9764,
    45.208,   24.3613,   27.9911,    0.3699,    0.9753,
    45.302,   24.3667,   28.0587,    0.3686,    0.9744,
    45.400,   24.3696,   28.1502,    0.3687,    0.9747,
    45.500,   24.3792,   28.2046,    0.3661,    0.9725,
    45.600,   24.4016,   28.1908,    0.3583,    0.9651,
    45.706,   24.4031,   28.2947,    0.3618,    0.9682,
    45.801,   24.4054,   28.3935,    0.3652,    0.9709,
    45.900,   24.4071,   28.4948,    0.3685,    0.9737,
    46.000,   24.4095,   28.5843,    0.3704,    0.9752,
    46.100,   24.4124,   28.6789,    0.3712,    0.9759,
    46.208,   24.4153,   28.7714,    0.3712,    0.9759,
    46.302,   24.4154,   28.8658,    0.3721,    0.9767,
    46.400,   24.4152,   28.9767,    0.3736,    0.9784,
    46.500,   24.4150,   29.0893,    0.3754,    0.9803,
    46.600,   24.4192,   29.1812,    0.3761,    0.9805,
    46.707,   24.4114,   29.3327,    0.3806,    0.9856,
