$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    79.400,   42.480,            0.000,
    79.500,   42.480,            0.000,
    79.600,   42.480,            0.000,
    79.704,   42.480,            0.000,
    79.803,   42.480,            0.000,
    79.900,   42.480,            0.000,
    80.000,   42.480,            0.000,
    80.100,   42.480,            0.000,
    80.204,   42.480,            0.000,
    80.306,   42.480,            0.000,
    80.400,   42.480,            0.000,
    80.500,   42.480,            0.000,
    80.600,   42.480,            0.000,
    80.704,   42.480,            0.000,
    80.806,   42.480,            0.000,
    80.900,   42.480,            0.000,
    81.000,   42.480,            0.000,
    81.100,   42.480,            0.000,
    81.206,   42.480,            0.000,
    81.302,   42.480,            0.000,
    81.400,   42.480,            0.000,
    81.500,   42.480,            0.000,
    81.600,   42.480,            0.000,
    81.703,   42.480,            0.000,
    81.805,   42.480,            0.000,
    81.900,   42.480,            0.000,
    82.000,   42.480,            0.000,
    82.100,   42.480,            0.000,
    82.206,   42.480,            0.000,
    82.308,   42.480,            0.000,
    82.400,   42.480,            0.000,
    82.500,   42.480,            0.000,
    82.600,   42.480,            0.000,
    82.704,   42.480,            0.000,
    82.806,   42.480,            0.000,
    82.900,   42.480,            0.000,
    83.000,   42.480,            0.000,
    83.100,   42.480,            0.000,
    83.204,   42.480,            0.000,
    83.306,   42.480,            0.000,
    83.400,   42.480,            0.000,
    83.500,   42.480,            0.000,
    83.600,   42.480,            0.000,
    83.704,   42.480,            0.000,
    83.806,   42.480,            0.000,
    83.900,   42.480,            0.000,
    84.000,   42.480,            0.000,
    84.100,   42.480,            0.000,
    84.203,   42.480,            0.000,
    84.306,   42.480,            0.000,
    84.400,   42.480,            0.000,
    84.500,   42.480,            0.000,
    84.600,   42.480,            0.000,
    84.704,   42.480,            0.000,
    84.804,   42.480,            0.000,
    84.900,   42.480,            0.000,
    85.000,   42.480,            0.000,
    85.100,   42.480,            0.000,
    85.203,   42.480,            0.000,
    85.305,   42.480,            0.000,
    85.400,   42.480,            0.000,
    85.500,   42.480,            0.000,
    85.600,   42.480,            0.000,
    85.700,   42.480,            0.000,
    85.804,   42.480,            0.000,
    85.900,   42.480,            0.000,
    86.000,   42.480,            0.000,
    86.100,   42.480,            0.000,
    86.202,   42.480,            0.000,
    86.304,   42.480,            0.000,
