$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,T(C)
   105.000,    5.96
   105.100,    5.87
   105.200,    5.84
   105.300,    5.79
   105.400,    5.76
   105.500,    5.73
   105.600,    5.72
   105.700,    5.69
   105.803,    5.62
   105.900,    5.52
   106.000,    5.44
   106.100,    5.38
   106.200,    5.32
   106.301,    5.27
   106.400,    5.28
   106.500,    5.34
   106.600,    5.43
   106.700,    5.51
   106.801,    5.56
   106.900,    5.60
   107.000,    5.64
   107.100,    5.67
   107.200,    5.70
   107.301,    5.72
   107.400,    5.78
   107.500,    5.97
   107.600,    6.00
   107.700,    6.03
   107.801,    6.02
   107.900,    6.01
   108.000,    6.00
   108.100,    6.05
   108.200,    6.05
   108.301,    6.02
   108.400,    6.04
   108.500,    6.07
   108.600,    6.13
   108.700,    6.15
   108.801,    6.15
   108.900,    6.13
   109.000,    6.12
   109.100,    6.15
   109.200,    6.16
   109.302,    6.19
   109.400,    6.22
   109.500,    6.29
   109.600,    6.39
   109.700,    6.49
   109.802,    6.54
   109.900,    6.55
   110.000,    6.54
   110.100,    6.55
   110.200,    6.53
   110.302,    6.51
   110.400,    6.50
   110.500,    6.53
   110.600,    6.58
   110.700,    6.67
   110.802,    6.68
   110.900,    6.65
   111.000,    6.63
   111.100,    6.64
   111.200,    6.67
   111.302,    6.71
   111.400,    6.78
   111.500,    6.88
   111.600,    6.97
   111.700,    7.07
   111.800,    7.07
   111.900,    7.05
   112.000,    7.06
   112.100,    7.11
   112.200,    7.18
   112.302,    7.22
   112.400,    7.25
   112.500,    7.32
   112.600,    7.40
   112.700,    7.45
   112.802,    7.43
   112.900,    7.36
   113.000,    7.27
   113.100,    7.17
   113.200,    7.08
   113.303,    7.03
   113.400,    7.08
   113.500,    7.21
   113.600,    7.35
   113.700,    7.46
   113.800,    7.52
   113.900,    7.54
   114.000,    7.63
   114.100,    7.80
   114.200,    7.90
   114.300,    7.93
   114.400,    7.97
   114.500,    8.06
   114.600,    8.16
   114.700,    8.24
   114.800,    8.27
   114.900,    8.24
   115.000,    8.20
   115.100,    8.18
   115.200,    8.20
   115.302,    8.23
   115.400,    8.27
   115.500,    8.33
   115.600,    8.34
   115.700,    8.30
   115.800,    8.19
   115.900,    7.98
   116.000,    7.80
   116.100,    7.72
   116.200,    7.74
   116.303,    7.98
   116.400,    8.15
   116.500,    8.30
   116.600,    8.36
   116.700,    8.35
   116.800,    8.30
   116.902,    8.20
   117.000,    8.09
   117.100,    7.97
   117.200,    7.89
   117.302,    7.85
   117.400,    7.84
   117.500,    7.88
   117.600,    7.87
   117.700,    7.71
   117.800,    7.52
   117.900,    7.33
   118.000,    7.23
   118.100,    7.19
   118.200,    7.28
   118.303,    7.40
   118.400,    7.56
   118.500,    7.81
   118.600,    7.93
   118.700,    8.03
   118.801,    8.09
   118.900,    8.12
   119.000,    8.18
   119.100,    8.31
   119.200,    8.46
   119.303,    8.70
   119.400,    8.81
   119.500,    8.90
   119.600,    8.97
   119.700,    9.01
   119.801,    9.02
   119.900,    9.01
   120.000,    9.02
   120.100,    9.09
   120.200,    9.14
   120.300,    9.09
   120.400,    9.08
   120.500,    9.05
   120.600,    8.97
   120.700,    8.78
   120.800,    8.36
   120.900,    7.53
   121.000,    6.69
   121.100,    6.18
   121.200,    5.98
   121.300,    6.00
   121.400,    6.08
   121.500,    6.17
   121.600,    6.32
   121.700,    6.47
   121.800,    6.67
   121.900,    6.83
   122.000,    6.96
   122.100,    7.11
   122.200,    7.24
   122.302,    7.36
   122.400,    7.42
   122.500,    7.47
   122.600,    7.50
   122.700,    7.48
   122.802,    7.42
   122.900,    7.33
   123.000,    7.22
   123.100,    7.10
   123.200,    6.97
   123.301,    6.80
   123.400,    6.75
   123.500,    6.73
   123.600,    6.76
   123.700,    6.82
   123.801,    6.94
